Timestamp,Course,"If pursuing BSc or MSc or Others, please specify your major",Age,Sex,A program needs to process a list of student records and generate a report on their grades. How should you start decomposing the problem?,You are asked to develop a function that finds prime numbers in a given range. Which of the following is the best way to decompose the problem?,"In a large software project, different modules perform data collection, processing, and visualization. What is the main advantage of decomposing the system this way?",A function processes customer transactions and applies discounts based on various conditions. Which approach best decomposes the problem?,"When decomposing a program to manage an online library system, which is the most effective breakdown?",You need to design a library management system. What is the best way to start?,You are given a large dataset to analyze student grades. How would you apply decomposition?  ,A company wants to build an online food ordering app. What is the first step in decomposition?,You need to debug a complex program with thousands of lines of code. What should you do?,You are designing an automated chatbot for customer service. How would you decompose this problem?,You are analyzing a dataset containing students scores in multiple subjects. Which method best demonstrates pattern recognition? ,A program needs to detect fraudulent credit card transactions. How would you solve this problem,"Which of the following would best represent the patterns in this list?
x x y y y y z z x x x x ","In a machine learning model, recognizing common patterns in customer behavior can be used to:",You need to optimize a sorting algorithm for large datasets. Which patterns from the following would you use?,"When writing a function to validate email addresses, which approach would you use to validate?",You notice that your program always crashes when entering a decimal number. What pattern do you recognize?,A weather app predicts rain whenever humidity is above 80%. What pattern is being used?,You are given a list of customer complaints and notice that most are about delayed deliveries. What should you do?,A teacher observes that students who practice more score higher on tests. What pattern is being recognized?,You are analyzing website traffic data and see that visits increase during weekends. What pattern do you notice?,"You are designing a function to calculate the total price of items in a shopping cart. What details should you focus on?
",You need to store a students details in a database. Which information is most important for a university system?,"When programming a car simulation game, which of the follow abstracts the game?",A weather app needs to show the current temperature. What is the best use of abstraction?,"You are designing a software application for a library management system. The system needs to keep track of various details for each book, such as title, author, publication date, and ISBN. However, you also need to ensure the software can handle other types of items, like DVDs and magazines, with their own specific attributes.
Which concept of abstraction best applies to this situation?","When using a mobile banking app, what is an example of abstraction?",You are designing an online ticket booking system. What should be abstracted?,"When coding a game, which of the following is an example of abstraction?",You need to build a flight booking app. Which is an example of abstraction in the app?,"When designing a calculator app, what is the best use of abstraction in the app?",Which of the following best demonstrates abstraction in programming?,You are designing an algorithm to find the shortest path between two locations on a map. Which approach from below would you use?,"When writing a sorting algorithm, which of the following would be the best approaches?",A function needs to calculate the factorial of a number. Which implementation demonstrates algorithmic thinking?,A program needs to validate a password based on multiple conditions. What steps would you take to solve it?,"When implementing a search algorithm, which of the following best demonstrates algorithmic thinking?","You are a delivery driver for a package delivery company. You have a list of packages to deliver to different addresses in the city. You want to spend as little time as possible driving around the city delivering the packages. 
Which of the following is the best algorithm for doing this?",You need to sort a list of student names. What should you do?,A robot needs to find the shortest path in a maze. What approach should be used?,"When designing a recipe recommendation system, what is an algorithmic approach?",What is the best way to check if a number is prime?,You need to search for a name in a sorted list. What is the best approach?
2/19/2025 20:09:59,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.",Focus on optimizing the primality test before handling input and output.,It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Calculating the average score for each subject.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program only works with whole numbers,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Simplifying the user interface to make it more user-friendly.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Writing separate code for every possible input,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/19/2025 20:17:06,MCA,,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/19/2025 23:15:53,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.",Focus on optimizing the primality test before handling input and output.,It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Calculating the average score for each subject.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/20/2025 8:22:04,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It ensures that all parts of the program are implemented by the same developer.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.",Ask each library user what they want before writing any code,"Divide it into sections like subject-wise, student-wise, and semester-wise",Ask customers to manually write down their orders and process them manually,Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Reduce the number of variables in the dataset.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades",Simulating the engines internal mechanics in full detail,"Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Keeping all code in a single function,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/20/2025 18:58:11,MCA,,20 - 23,Male,"Write a function that prints the report first, then figure out how to process the data.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Implement all discount calculations in a single function.,Store book details in a single array and retrieve them using a loop.,Write all the code at once without planning,Analyze all data at once,Write code for the entire app in one go,Read the entire code line by line,Build the chatbot without testing,Identifying students who perform consistently well across subjects.,By rejecting transactions randomly to prevent fraud.,"(x,3)(y,1)(z,3)",Reduce the number of variables in the dataset.,By always using the same sorting algorithm regardless of input data.,Checking if the email contains only alphabetic characters.,The program crashes randomly,The app guesses randomly,Randomly fix issues without looking for patterns,All students score the same,Website visits are completely random,The brand of each item,"Favorite food, music preferences, and hobbies","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part",Showing the names of all weather satellites used to collect data,Generalizing the common attributes and behaviors of different types of library items.,Users see the raw database of all transactions instead of a clean balance summary,The full technical details of how the internet works,Making players memorize complex game mechanics,Making users understand how airlines process bookings internally,Letting users manually program each operation,Printing every debug message to the user,Choosing the longest path first to explore all possibilities.,Sorting the data manually and hardcoding the results.,Using a large dataset to approximate factorial values.,Checking only if the password contains numbers.,Storing all possible queries in memory for quick access.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Arrange names manually each time,Try every possible path without strategy,Ask users to enter every ingredient manually each time,Check only even numbers,Check every name one by one
2/20/2025 18:59:58,MCA,,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Calculating the average score for each subject.,By writing a function to flag transactions above a certain threshold.,"(x,3)(y,1)(z,3)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The brand of each item,"Favorite food, music preferences, and hobbies",Making sure the game includes real-life repair costs,Showing detailed wind speed calculations and air pressure graphs,Increasing the number of available functions and features in the software.,Users must know the programming language used to create the app,The full technical details of how the internet works,Writing the entire game from scratch every time a new level is added,Showing a list of all past flights ever taken,Showing all internal processes of how the calculator computes numbers,Keeping all code in a single function,Choosing the longest path first to explore all possibilities.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,Checking only if the password contains numbers.,Storing all possible queries in memory for quick access.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Arrange names manually each time,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/20/2025 19:28:27,BCA,,16 - 19,Female,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By recognizing that certain datasets are already partially sorted.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades","Using simple controls like ""Accelerate"" and ""Brake"" instead of simulating each engine part","Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations","Only essential details like seat availability, payment, and confirmation",Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
2/20/2025 19:54:12,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Store all discount rules in an array and iterate over them.,"Create separate modules for user management, book catalog, and borrowing system.","Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By rejecting transactions randomly to prevent fraud.,"(x,2)(y,4)(z,2)(x,4)",Reduce the number of variables in the dataset.,By implementing a brute-force approach for sorting.,Checking if the email contains only alphabetic characters.,The program crashes randomly,The app guesses randomly,Ignore the complaints,All students score the same,Website visits are completely random,The color of each item,"Favorite food, music preferences, and hobbies",Coding a separate program for each different car model,Showing detailed wind speed calculations and air pressure graphs,Simplifying the user interface to make it more user-friendly.,Users see the raw database of all transactions instead of a clean balance summary,The full technical details of how the internet works,Manually drawing every frame instead of using a game engine,Making users understand how airlines process bookings internally,Showing all internal processes of how the calculator computes numbers,Printing every debug message to the user,Implementing Dijkstras algorithm to find the shortest route.,Sorting the data manually and hardcoding the results.,Using recursion or iteration to compute the factorial step by step.,Checking only if the password contains numbers.,Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Move randomly and hope to find the exit,Use user preferences and past choices to suggest recipes,Check only even numbers,Check every name one by one
2/20/2025 20:06:57,MSc,AIML,20 - 23,Female,"Divide the task into reading input, processing data, and generating output.",Focus on optimizing the primality test before handling input and output.,It improves performance by reducing code execution time.,Implement all discount calculations in a single function.,Store book details in a single array and retrieve them using a loop.,"Divide the system into parts like book catalog, user management, and borrowing system","Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Calculating the average score for each subject.,By rejecting transactions randomly to prevent fraud.,"(x,2)(y,4)(z,2)(x,4)",Reduce the number of variables in the dataset.,By implementing a brute-force approach for sorting.,Storing a list of valid email addresses and comparing input against it.,The program crashes randomly,Higher humidity often leads to rain,Ignore the complaints,Studying does not affect performance,Website traffic decreases over time,The price and quantity of each item,The number of books they own at home,Making sure the game includes real-life repair costs,Showing detailed wind speed calculations and air pressure graphs,Increasing the number of available functions and features in the software.,Users must know the programming language used to create the app,Every customers past booking history in great detail,Making players memorize complex game mechanics,Making users understand how airlines process bookings internally,Letting users manually program each operation,Using variables instead of hardcoded values,Implementing Dijkstras algorithm to find the shortest route.,Using a random number generator to shuffle elements before sorting.,Storing precomputed factorials and returning results directly.,Checking only if the password contains numbers.,Selecting a random element and assuming it is correct.,"For each package on the list, go to the address it is to be delivered to and deliver it.",Store names in random order,Restart if the robot gets stuck,Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Check every name one by one
2/20/2025 20:27:58,MCA,,20 - 23,Male,"Divide the task into reading input, processing data, and generating output.","Write separate functions for input handling, checking primality, and displaying results.",It allows independent development and testing of each module.,Create separate functions for each discount rule and apply them sequentially.,"Create separate modules for user management, book catalog, and borrowing system.",Ask each library user what they want before writing any code,"Divide it into sections like subject-wise, student-wise, and semester-wise","Identify main components like menu, orders, payments, and delivery",Divide the program into smaller sections and test each one separately,"Create separate modules for greeting users, answering FAQs, and processing complaints",Identifying students who perform consistently well across subjects.,By identifying common characteristics of past fraudulent transactions.,"(x,2)(y,4)(z,2)(x,4)",Group customers into meaningful categories based on behavior.,By converting all data into a single format before sorting.,Identifying common patterns in valid email formats using regular expressions.,The program cannot handle decimal inputs,Higher humidity often leads to rain,Recognize that delivery time is a common issue and focus on solving it,More practice leads to better performance,More people visit the website on weekends,The price and quantity of each item,"Student name, ID, course, and grades",Coding a separate program for each different car model,"Displaying only temperature, humidity, and weather condition",Generalizing the common attributes and behaviors of different types of library items.,"Users see a simple ""Transfer Money"" button instead of complex banking operations",Every customers past booking history in great detail,Creating a function for moving characters instead of writing separate movement logic every time,"Showing only the flight options, price, and time to users",Displaying a simple interface with basic mathematical operations,Writing separate code for every possible input,Implementing Dijkstras algorithm to find the shortest route.,Breaking down the sorting process into steps like comparing and swapping elements.,Using recursion or iteration to compute the factorial step by step.,"Implementing a sequence of checks like length, special characters, and uppercase letters.",Using binary search for a sorted array.,Determine which neighborhood each delivery address is in. Cluster the list by deliveries in the same neighborhood. Drive to each neighborhood once and deliver all of the packages in that neighborhood.,Use a sorting algorithm like quicksort or mergesort,Use an algorithm like breadth-first search (BFS),Use user preferences and past choices to suggest recipes,Use a step-by-step algorithm to check divisibility,Use binary search for efficiency
